Plant Image,Genus,Species,Lep Image,PathLink
maleberry.jpg,Paonias,astylus,paoniasAstylus.jpg,https://www.sphingidae.us/Paonias-astylus.html/
maleberry.jpg,Sphinx,gordius,sphinxGordius.jpg,https://www.sphingidae.us/Sphinx-gordius.html/
maleberry.jpg,Sphinx,luscitiosa,sphinxLuscitiosa.jpg,https://www.sphingidae.us/Sphinx-luscitiosa.html/
climbinghydrangea.jpg,Darapsa,versicolor,darapsaVersicolor.jpg,https://www.sphingidae.us/Darapsa-versicolor.html/
trumpetVine.jpg,Paratrea,plebeja,paratreaPlebeja.jpg,https://www.sphingidae.us/Paratrea-plebeja.html/
trumpetVine.jpg,Ceratomia,undulosa,ceratomiaUndulosa.jpg,https://www.sphingidae.us/Ceratomia-undulosa.html/
trumpetVine.jpg,Paratrea,plebeja,paratreaPlebeja.jpg,https://www.sphingidae.us/Paratrea-plebeja.html/
benguetPine.jpg,Lapara,bombycoides,laparaBombycoides.jpg,https://www.sphingidae.us/Lapara-bombycoides.html/
benguetPine.jpg,Lapara,coniferarum,laparaConiferarum.jpg,https://www.sphingidae.us/Lapara-coniferarum.html/
benguetPine.jpg,Sphinx,pinastri,sphinxPinastri.jpg,https://www.sphingidae.us/Sphinx-pinastri.html/
seasideAlder.jpg,Amorpha,juglandis,amorphaJuglandis.jpg,https://www.sphingidae.us/Amorpha-juglandis.html/
seasideAlder.jpg,Sphinx,gordius,sphinxGordius.jpg,https://www.sphingidae.us/Sphinx-gordius.html/
seasideAlder.jpg,Sphinx,poecila,sphinxPoecila.jpg,https://www.sphingidae.us/Sphinx-poecila.html/
wildHydrangea.jpg,Darapsa,versicolor,darapsaVersicolor.jpg,https://www.sphingidae.us/Darapsa-versicolor.html/
wildHydrangea.jpg,Darapsa,versicolor,darapsaVersicolor.jpg,https://www.sphingidae.us/Darapsa-versicolor.html/
pawpaw.jpg,Agrius,cingulata,agriusCingulata.jpg,https://www.sphingidae.us/Agrius-cingulata.html/
pawpaw.jpg,Dolba,hyloeus,dolbaHyloeus.jpg,https://www.sphingidae.us/Dolba-hyloeus.html/
pawpaw.jpg,Agrius,cingulata,agriusCingulata.jpg,https://www.sphingidae.us/Agrius-cingulata.html/
pawpaw.jpg,Dolba,hyloeus,dolbaHyloeus.jpg,https://www.sphingidae.us/Dolba-hyloeus.html/
americanFringetree.jpg,Ceratomia,undulosa,ceratomiaUndulosa.jpg,https://www.sphingidae.us/Ceratomia-undulosa.html/
americanFringetree.jpg,Ceratomia,undulosa,ceratomiaUndulosa.jpg,https://www.sphingidae.us/Ceratomia-undulosa.html/
americanFringetree.jpg,Manduca,rustica,manducaRustica.jpg,https://www.sphingidae.us/Manduca-rustica.html/
americanFringetree.jpg,Sphinx,chersis,sphinxChersis.jpg,https://www.sphingidae.us/Sphinx-chersis.html/
americanFringetree.jpg,Sphinx,kalmiae,sphinxKalmiae.jpg,https://www.sphingidae.us/Sphinx-kalmiae.html/
summerGrape.jpg,Amphion,floridensis,amphionFloridensis.jpg,https://www.sphingidae.us/Amphion-floridensis.html/
summerGrape.jpg,Darapsa,myron,darapsaMyron.jpg,https://www.sphingidae.us/Darapsa-myron.html/
summerGrape.jpg,Deidamia,inscriptum,deidamiaInscriptum.jpg,https://www.sphingidae.us/Deidamia-inscriptum.html/
summerGrape.jpg,Deilephila,elpenor,deilephilaElpenor.jpg,https://www.sphingidae.us/Deilephila-elpenor.html/
