Index,Common Name,Family + Genus,Scientific Name,Soil Type,Moisture Type,Sun Type,Is Perennial,Image Url,Image Path,Lep Count,Spread (cm),Other Info,Type,Other Info
119195,Leatherleaf,Ericaceae Chamaedaphne,Chamaedaphne calyculata,LOAM,MOIST,FULL SUN,TRUE,https://bs.floristic.org/image/o/b99bb35517c9d53e076660e49f25fe14c2a06701,leatherleaf.jpg,10,30,,WOOD,
122000,Coastal sweetpepperbush,Clethraceae Clethra,Clethra alnifolia,LOAM,MOIST,PART SHADE,TRUE,https://bs.floristic.org/image/o/d4db4846461e0745edb9033c247a6a1b0ee9a76e,coastalSweetpepperbush.jpg,10,150,,WOOD,
153378,Maleberry,Ericaceae Lyonia,Lyonia ligustrina,LOAM,WET,PART SHADE,TRUE,https://bs.floristic.org/image/o/f0851956818c9dbdc499cbf6170de02bca86bad2,maleberry.jpg,9,150,,WOOD,
700066,Climbing-hydrangea,Hydrangeaceae Hydrangea,Hydrangea barbara,CLAY,WET,PART SHADE,TRUE,https://bs.floristic.org/image/o/122d014f6a482ec46fa396f55f41aec67fc76331,climbinghydrangea.jpg,9,180,,WOOD,
1235379,Trumpet vine,Bignoniaceae Campsis,Campsis radicans,SAND,MOIST,FULL SUN,TRUE,http://d2seqvvyy3b8p2.cloudfront.net/31925c673c0e2dc5a401edac5fb9c3cc.jpg,trumpetVine.jpg,6,730,,WOOD,
1235427,Oriental bittersweet,Celastraceae Celastrus,Celastrus orbiculatus,SAND,DRY,PART SHADE,TRUE,https://bs.floristic.org/image/o/67a5e99f184f38d079391977a8b39ee860816605,orientalBittersweet.jpg,6,300,,WOOD,
157678,White mulberry,Moraceae Morus,Morus alba,LOAM,MOIST,PART SHADE,TRUE,https://bs.floristic.org/image/o/273da49f599dede282c8d94bf0a9d7f8bf913c22,whiteMulberry.jpg,6,1000,,WOOD,
933927,Benguet pine,Pinaceae Pinus,Pinus kesiya var. langbianensis,CLAY,WET,FULL SUN,TRUE,https://bs.floristic.org/image/o/1ae98961fbc66253a7cbb63d4d3ba878d2765996,benguetPine.jpg,146,3000,,WOOD,
103872,Seaside alder,Betulaceae Alnus,Alnus maritima,CLAY,MOIST,FULL SUN,TRUE,https://bs.floristic.org/image/o/5b275c5f436fd31f670339deda3c10ba956b5d4f,seasideAlder.jpg,164,1000,,WOOD,
143716,Wild hydrangea,Menispermaceae Menispermum,Hydrangea arborescens,CLAY,WET,PART SHADE,TRUE,https://bs.floristic.org/image/o/08aa66c99fcf038126983988c738e90f2fc0bb28,wildHydrangea.jpg,9,180,,WOOD,
108447,Pawpaw,Annonaceae Asimina,Asimina triloba,CLAY,MOIST,FULL SUN,TRUE,https://bs.floristic.org/image/o/91cdffbbeb09c83111d2e172491dfd897d8002d7,pawpaw.jpg,12,600,,WOOD,
129630,Eastern leatherwood,Thymelaeaceae Dirca,Dirca palustris,CLAY,MOIST,PART SHADE,TRUE,https://bs.floristic.org/image/o/3bc9146109f91678d69ff6c1f1c36e1784e8de53,easternLeatherwood.jpg,1,240,,WOOD,
1235435,American fringetree,Oleaceae Chionanthus,Chionanthus virginicus,LOAM,MOIST,PART SHADE,TRUE,https://bs.floristic.org/image/o/63d9a34d2f56cc86d94bff8bd7738ef4c7de5fc4,americanFringetree.jpg,11,500,,WOOD,
178833,Sassafras,Lauraceae Sassafras,Sassafras albidum,CLAY,MOIST,FULL SUN,TRUE,https://bs.floristic.org/image/o/995d259cf1d99d45cf8238eeb8037e6c688eb67e,sassafras.jpg,35,900,,WOOD,
150411,Northern spicebush,Lauraceae Lindera,Lindera benzoin,SAND,DRY,FULL SHADE,TRUE,https://bs.floristic.org/image/o/6e824c9b4064c17659f6be5a922eb3dd2aae240d,northernSpicebush.jpg,12,240,,WOOD,
1235616,American chestnut,Fagaceae Castanea,Castanea dentata,LOAM,MOIST,FULL SUN,TRUE,https://bs.floristic.org/image/o/c09c1ba495e649c11d1abc332b486c9f0f11fa62,americanChestnut.jpg,109,1800,,WOOD,
192434,Summer grape,Vitaceae Vitis,Vitis aestivalis,LOAM,MOIST,FULL SUN,TRUE,https://bs.floristic.org/image/o/8a33e6a82391845682f423a67ae91a6fdc04b02c,summerGrape.jpg,64,150,,WOOD,
137842,Black ash,Oleaceae Fraxinus,Fraxinus nigra,LOAM,DRY,FULL SUN,TRUE,https://bs.floristic.org/image/o/80a79c8c8ec346bbfa87979ab6f8ee817ce7225e,blackAsh.jpg,124,1000,,WOOD,
190259,American elm,Ulmaceae Ulmus,Ulmus americana,LOAM,MOIST,FULL SUN,TRUE,https://bs.floristic.org/image/o/b4439d69bbcafcb7cdd98a055b521d3846435f80,americanElm.jpg,164,1000,,WOOD,
137845,Green ash,Oleaceae Fraxinus,Fraxinus pennsylvanica,LOAM,MOIST,FULL SUN,TRUE,https://bs.floristic.org/image/o/1105372257d147629cc699a0ed91aec18904aa48,greenAsh.jpg,124,1000,,WOOD,
120923,Bull thistle,Asteraceae Cirsium,Cirsium vulgare,LOAM,DRY,FULL SUN,FALSE,https://bs.floristic.org/image/o/b0f01e6f890f2fe9ca4535c6251406aa162e2477,bullThistle.jpg,26,100,,HERB,
1235775,Hog-peanut,Fabaceae Amorpha,Amphicarpaea bracteata,LOAM,MOIST,FULL SHADE,TRUE,https://bs.floristic.org/image/o/93f7b78514a0b4e7027208d090bc62ea7bd0bdfb,hogPeanut.jpg,7,91,,HERB,
150611,Common flax,Linaceae Linium,Linum usitatissimum,SAND,DRY,FULL SUN,FALSE,https://bs.floristic.org/image/o/be2397c25dcd41ffba0b690a29b4cb42117c4ab9,commonFlax.jpg,14,95,,HERB,
192961,Rough cocklebur,Asteraceae Xanthium,Xanthium strumarium,SAND,MOIST,FULL SUN,FALSE,https://bs.floristic.org/image/o/6b632351c1bb4a398caa09c0343990460d0894b5,roughCocklebur.jpg,11,152,,HERB,
181249,Japanese bristlegrass,Poaceae Setaria,Setaria faberi,SAND,DRY,FULL SUN,TRUE,https://bs.floristic.org/image/o/74e057400e45db7ae522903c86f78abee645fc18,japaneseBristlegrass.jpg,9,183,,HERB,
170507,Dwarf cinquefoil,Rosaceae Potentilla,Potentilla canadensis,LOAM,DRY,FULL SUN,TRUE,https://bs.floristic.org/image/o/8e2b79ad8f694afa3bc48dfc64d909a61bf93814,dwarfCinquefoil.jpg,7,46,,HERB,
103457,American water plantain,Alismataceau Alisma,Alisma subcordatum,CLAY,WET,FULL SUN,TRUE,https://bs.floristic.org/image/o/4390e8c48e22f3bfb04fe14f3dee884b07186785,americanWaterPlantain.jpg,1,91,,HERB,
183179,American bur-reed,Typhaceae Sparganium,Sparganium americanum,CLAY,WET,FULL SUN,TRUE,https://bs.floristic.org/image/o/b23f265d6a08d54fefb59e5e0dd18136ee64968f,americanBurreed.jpg,6,90,,HERB,
183118,Indiangrass,Poeacea Sorghastrum,Sorghastrum nutans,LOAM,DRY,FULL SUN,TRUE,https://bs.floristic.org/image/o/fdb6a2aac2bd2f15fc919957d1ab1e763d4d887a,indiangrass.jpg,5,152,,HERB,
118438,Spurred butterfly pea,Fabaceae Centrosema,Centrosema virginianum,SAND,DRY,PART SHADE,TRUE,https://bs.floristic.org/image/o/4be66cd3863bae91d0bbeac1e85b7bacb22ef748,spurredButterflyPea.jpg,4,366,,HERB,
136924,Ovina,Poaceae Festuca,Festuca ovina,LOAM,MOIST,PART SHADE,TRUE,https://bs.floristic.org/image/o/543c327ab3180f3e6acad5890ced91d902cd5cea,ovina.jpg,4,30,,HERB,
160584,Devil's-tongue,Cactaceae Opuntia,Opuntia humifusa,LOAM,DRY,FULL SUN,TRUE,https://bs.floristic.org/image/o/7a21a5d0a9d0d997db05fac03d1c0e0f2911b865,devilsTongue.jpg,4,60,,HERB,
